date,region,product,channel,units,unit_price,discount_pct,revenue,customer_id,warehouse
2025-01-05,North,Horizon X1,retail,18,499.99,0,8999.82,1,W1-Newark
2025-01-08,East,OptiTrack Pro,online,12,349.99,5,3989.89,3,W1-Newark
2025-01-12,South,Horizon X1,retail,25,499.99,0,12499.75,5,W2-Austin
2025-01-15,North,HapticGlove V2,online,40,129.99,10%,4679.64,8,W1-Newark
2025-01-19,West,OptiTrack Pro,distributor,8,349.99,15,2379.93,,
2025-01-22,East,Horizon X1,online,30,499.99,0,14999.70,7,W1-Newark
2025-01-28,South,HapticGlove V2,retail,55,129.99,,7149.45,,W2-Austin
2025-02-02,North,Horizon X1,online,22,499.99,5,10449.79,51,W1-Newark
2025-02-06,West,SenseField 360,retail,15,749.99,0,11249.85,21,W3-Portland
2025-02-10,East,HapticGlove V2,distributor,35,129.99,20,3639.72,19,
2025-02-14,South,OptiTrack Pro,online,20,349.99,0,6999.80,2,W2-Austin
2025-02-18,North,SenseField 360,retail,10,749.99,10,6749.91,45,W1-Newark
2025-02-22,West,Horizon X1,online,14,499.99,0,6999.86,9,W3-Portland
2025-02-26,East,SenseField 360,distributor,7,749.99,25,3937.45,71,
2025-03-01,South,Horizon X1,retail,28,499.99,0,13999.72,68,W2-Austin
2025-03-05,North,OptiTrack Pro,online,16,349.99,5,5319.85,32,W1-Newark
2025-03-09,West,HapticGlove V2,retail,45,129.99,,5849.55,,W3-Portland
2025-03-13,East,Horizon X1,online,19,499.99,10,8549.83,81,W1-Newark
2025-03-17,South,SenseField 360,distributor,9,749.99,15,5737.42,35,
2025-03-21,North,HapticGlove V2,online,60,129.99,0,7799.40,85,W1-Newark
2025-03-25,West,OptiTrack Pro,retail,11,349.99,0,3849.89,56,W3-Portland
2025-03-29,East,HapticGlove V2,online,38,129.99,5,4692.64,11,W1-Newark
2025-04-02,South,Horizon X1,online,32,499.99,0,15999.68,43,W2-Austin
2025-04-06,North,SenseField 360,distributor,6,749.99,20,3599.95,,
2025-04-10,West,Horizon X1,retail,20,499.99,0,9999.80,82,W3-Portland
2025-04-14,East,OptiTrack Pro,online,14,349.99,10,4409.87,61,W1-Newark
2025-04-18,South,HapticGlove V2,retail,50,129.99,0,6499.50,76,W2-Austin
2025-04-22,North,Horizon X1,online,26,499.99,5,12349.75,92,W1-Newark
2025-04-26,West,SenseField 360,online,12,749.99,0,8999.88,37,W3-Portland
2025-04-30,East,Horizon X1,distributor,17,499.99,15,7224.86,999,
2025-05-03,South,OptiTrack Pro,online,22,349.99,0,7699.78,13,W2-Austin
2025-05-06,North,HapticGlove V2,retail,35,129.99,10,4094.69,38,W1-Newark
2025-05-09,West,Horizon X1,online,16,499.99,0,7999.84,28,W3-Portland
2025-05-12,East,SenseField 360,retail,8,749.99,5,5699.92,47,W1-Newark
2025-05-15,South,Horizon X1,distributor,30,499.99,20,11999.76,,
2025-05-18,North,OptiTrack Pro,online,10,349.99,0,3499.90,72,W1-Newark
2025-05-21,West,HapticGlove V2,online,48,129.99,0,6239.52,80,W3-Portland
2025-05-24,East,Horizon X1,retail,21,499.99,0,10499.79,86,W1-Newark
2025-05-27,South,SenseField 360,online,11,749.99,10,7424.90,62,W2-Austin
2025-05-30,North,HapticGlove V2,distributor,65,129.99,25,6336.51,,
2025-06-02,West,Horizon X1,retail,13,499.99,0,6499.87,69,W3-Portland
2025-06-05,East,OptiTrack Pro,online,18,349.99,5,5984.83,74,W1-Newark
2025-06-08,South,Horizon X1,online,27,499.99,0,13499.73,97,W2-Austin
2025-06-11,North,SenseField 360,retail,9,749.99,0,6749.91,1,W1-Newark
2025-06-14,West,HapticGlove V2,online,42,129.99,15,4637.64,96,W3-Portland
2025-06-17,East,Horizon X1,distributor,15,499.99,10,6749.87,,
2025-06-20,South,OptiTrack Pro,retail,24,349.99,0,8399.76,84,W2-Austin
2025-06-23,North,Horizon X1,online,20,499.99,5,9499.81,58,W1-Newark
2025-06-26,West,SenseField 360,online,6,749.99,,4499.94,53,W3-Portland
2025-06-29,East,HapticGlove V2,retail,50,129.99,0,6499.50,87,W1-Newark
2025-07-02,South,Horizon X1,online,35,499.99,0,17499.65,29,W2-Austin
2025-07-05,North,OptiTrack Pro,distributor,14,349.99,20,3919.89,,
2025-07-08,West,HapticGlove V2,online,30,129.99,0,3899.70,42,W3-Portland
2025-07-11,East,SenseField 360,retail,10,749.99,0,7499.90,90,W1-Newark
2025-07-14,South,Horizon X1,retail,22,499.99,10,9899.80,23,W2-Austin
2025-07-17,North,HapticGlove V2,online,55,129.99,5,6792.98,39,W1-Newark
2025-07-20,West,OptiTrack Pro,online,9,349.99,0,3149.91,6,W3-Portland
2025-07-23,East,Horizon X1,online,24,499.99,0,11999.76,99,W1-Newark
2025-07-26,South,SenseField 360,distributor,8,749.99,15,5099.93,,
2025-07-29,North,Horizon X1,retail,17,499.99,0,8499.83,85,W1-Newark
2025-08-01,West,HapticGlove V2,retail,38,129.99,0,4939.62,14,W3-Portland
2025-08-04,East,OptiTrack Pro,online,15,349.99,5,4987.36,36,W1-Newark
2025-08-07,South,Horizon X1,online,29,499.99,0,14499.71,43,W2-Austin
2025-08-10,North,SenseField 360,online,7,749.99,10,4724.94,55,W4-Reno
2025-08-13,West,Horizon X1,distributor,11,499.99,20,4399.91,,
2025-08-16,East,HapticGlove V2,online,44,129.99,0,5719.56,77,W1-Newark
2025-08-19,South,OptiTrack Pro,retail,19,349.99,0,6649.81,101,W2-Austin
2025-08-22,North,Horizon X1,online,23,499.99,95,574.99,16,W1-Newark
2025-08-25,West,SenseField 360,retail,14,749.99,0,10499.86,93,W3-Portland
2025-08-28,East,Horizon X1,online,26,499.99,5,12349.75,50,W1-Newark
2025-08-31,South,HapticGlove V2,retail,60,129.99,,7799.40,,W2-Austin
2025-09-03,North,OptiTrack Pro,online,13,349.99,0,4549.87,91,W1-Newark
2025-09-06,West,Horizon X1,retail,18,499.99,0,8999.82,107,W3-Portland
2025-09-09,East,SenseField 360,distributor,5,749.99,25,2812.46,,
2025-09-12,South,Horizon X1,online,31,499.99,0,15499.69,110,W2-Austin
2025-09-15,North,HapticGlove V2,online,47,129.99,10,5497.58,78,W1-Newark
2025-09-18,West,OptiTrack Pro,retail,10,349.99,0,3499.90,67,W3-Portland
2025-09-21,East,Horizon X1,retail,20,499.99,0,9999.80,61,W1-Newark
2025-09-24,South,SenseField 360,online,13,749.99,5,9262.38,76,W2-Austin
2025-09-27,North,Horizon X1,online,15,499.99,0,7499.85,51,W1-Newark
2025-09-30,West,HapticGlove V2,distributor,36,129.99,15,3977.69,,
2025-10-03,East,Horizon X1,online,28,499.99,0,13999.72,33,W1-Newark
2025-10-06,South,OptiTrack Pro,retail,21,349.99,0,7349.79,62,W2-Austin
2025-10-09,North,SenseField 360,retail,11,749.99,10,7424.90,72,W1-Newark
2025-10-12,West,Horizon X1,online,19,499.99,5,9024.81,80,W3-Portland
2025-10-15,East,HapticGlove V2,online,40,129.99,0,5199.60,88,W1-Newark
2025-10-18,South,Horizon X1,distributor,24,499.99,20,9599.81,,
2025-10-21,North,OptiTrack Pro,online,17,349.99,0,5949.83,95,W1-Newark
2025-10-24,West,SenseField 360,online,8,749.99,0,5999.92,37,W3-Portland
2025-10-27,East,Horizon X1,retail,22,499.99,0,10999.78,7,W1-Newark
2025-10-30,South,HapticGlove V2,retail,52,129.99,5,6424.31,35,W2-Austin
2025-11-02,North,Horizon X1,online,25,499.99,0,12499.75,32,W1-Newark
2025-11-05,West,OptiTrack Pro,distributor,12,349.99,15,3569.90,,
2025-11-08,East,SenseField 360,retail,9,749.99,0,6749.91,63,W1-Newark
2025-11-11,South,Horizon X1,online,33,499.99,10,14849.70,5,W2-Austin
2025-11-14,North,HapticGlove V2,online,58,129.99,0,7539.42,24,W1-Newark
2025-11-17,West,Horizon X1,retail,15,499.99,0,7499.85,82,W3-Portland
2025-11-20,East,OptiTrack Pro,online,11,349.99,5,3657.40,46,W1-Newark
2025-11-23,South,SenseField 360,online,10,749.99,,7499.90,68,W2-Austin